T,input_acc,W1,W2,W3,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,Wb1,Wb2,Wb3
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009584426879882812,9.37373727342455,0.6610035052211033,0.16019595232747877,0.02055859417307596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.010488271713256836,9.796197212339724,0.0032366901575628677,0.001474478965842211,0.0001121930357411687,0.0,0.0,9.172414527958578e-19,0.0,0.0,4.784810273764233e-15,0.0,0.0,0.0,5.879536168907264e-13,-6.480346884176434e-13,-5.975097034425758e-17,5.879536168907264e-13,-6.480346884176434e-13,-5.975097034425758e-17
0.016506433486938477,9.777496197715198,0.014181582896857722,0.008445035634097282,0.0005366078071673811,0.0,0.0,1.4356152370091615e-13,0.0,0.0,6.839969871630403e-11,0.0,0.0,0.0,4.3183713769238013e-10,-4.759877043735042e-10,-2.7059200037456015e-13,4.3183713769238013e-10,-4.759877043735042e-10,-2.7059200037456015e-13
0.026024341583251953,9.729927005961475,0.03025280315292356,0.025511235531758554,0.0013168270019012728,0.0,0.0,1.3837813967198605e-12,0.0,0.0,4.1878442596595757e-10,0.0,0.0,0.0,3.4512917406578665e-09,-3.803875722082605e-09,-7.000773815677001e-12,3.4512917406578665e-09,-3.803875722082605e-09,-7.000773815677001e-12
0.03202247619628906,9.642552732397792,0.04446407639054779,0.05623424721884465,0.0023740955920351337,0.0,0.0,1.3445120856930995e-11,0.0,0.0,2.5794868139106384e-09,0.0,0.0,0.0,1.9838691753403908e-08,-2.1861860198195644e-08,-9.353274278891501e-11,1.9838691753403908e-08,-2.1861860198195644e-08,-9.353274278891501e-11
0.04353928565979004,9.510494339965323,0.051586726205253106,0.10274845147463495,0.0036461790144313028,0.0,0.0,3.7863814343772434e-11,0.0,0.0,5.901655078643067e-09,0.0,0.0,0.0,5.67779418535567e-08,-6.255760561573736e-08,-5.075888587966567e-10,5.67779418535567e-08,-6.255760561573736e-08,-5.075888587966567e-10
0.049510955810546875,9.335131772013513,0.048333444249421716,0.16568573602308795,0.005083015238422367,0.0,0.0,1.753798671864512e-10,0.0,0.0,2.0092113436953502e-08,0.0,0.0,0.0,1.726799846131945e-07,-1.9024467556515786e-07,-2.5557847505335397e-09,1.726799846131945e-07,-1.9024467556515786e-07,-2.5557847505335397e-09
0.058692216873168945,9.12219079990985,0.03279737949730292,0.24460102285503363,0.006648023807473269,0.0,0.0,3.3293943536333004e-10,0.0,0.0,3.353103820792073e-08,0.0,0.0,0.0,3.3501376632695327e-07,-3.6913419013938073e-07,-7.464775224571659e-09,3.3501376632695327e-07,-3.6913419013938073e-07,-7.464775224571659e-09
0.06493067741394043,8.88015466205489,0.004202547013896179,0.3381904501731559,0.008316926888015387,0.0,0.0,7.774305596942364e-10,0.0,0.0,6.601491764826046e-08,0.0,0.0,0.0,6.57337260720879e-07,-7.245488403587785e-07,-2.056299108793315e-08,6.57337260720879e-07,-7.245488403587785e-07,-2.056299108793315e-08
0.07087969779968262,8.618967701000592,-0.037164606673089004,0.44441428471066874,0.010070961199995117,0.0,0.0,1.286058732879709e-09,0.0,0.0,9.867806051521988e-08,0.0,0.0,0.0,1.0660667544248348e-06,-1.1758442333607783e-06,-4.437484730725822e-08,1.0660667544248348e-06,-1.1758442333607783e-06,-4.437484730725822e-08
