T,Px,Py,Pz,Vx,Vy,Vz,Roll,Pitch,Yaw,R_rate,P_rate,Y_rate,T,M1,M2,M3,Wb1,Wb2,Wb3
0,-0.021122751757502556,-0.01915307529270649,0.10132426768541336,0.0,0.0,0.0,-0.0749788899581737,-0.008076938138712571,-0.04044533084511688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0009584426879882812,-0.00011695104155086843,-0.00010610819105106106,0.0005615210339935487,-0.0001296453101528499,-0.00011762553933809336,0.0006224704598101292,-0.00041587863194269815,-4.587958725799974e-05,-0.0002243486119495832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.010488271713256836,-0.0005589156329234932,-0.0005070663551367308,0.002683356437915718,-0.0009798188381766261,-0.0008889431441627127,0.0047042333823360885,-0.0019868629565278867,-0.00021926828149846704,-0.001072136331862988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016506433486938477,-0.0013682378640212968,-0.0012414859085473275,0.006569062689680642,-0.0036456046753147605,-0.003307628287330957,0.017502861079680597,-0.00486768926666696,-0.0005315090377881076,-0.0026250915023684628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.026024341583251953,-0.002453619297859311,-0.0022270493440918106,0.011780919141742894,-0.009187013929621133,-0.008336476144338927,0.04410864675537423,-0.008733699723135136,-0.0009396901929742215,-0.00471156134675498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03202247619628906,-0.003735967334173966,-0.003392109814096965,0.017939046337983315,-0.01814599734495744,-0.016469499788397266,0.08712586760275098,-0.01329968675434278,-0.0014133281966069054,-0.0071821658644721405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04353928565979004,-0.005147766388971038,-0.004674740617261677,0.024718311538524988,-0.03052937251475384,-0.027714735664143203,0.14658829803461504,-0.018330904150602963,-0.0019309090870571418,-0.009902361780428458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.049510955810546875,-0.006632024848375234,-0.006022749347119813,0.03184475840903615,-0.045966134066526554,-0.041735040858241194,0.22071272719450466,-0.02362628772290202,-0.0024755374097293757,-0.01275863698109738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.058692216873168945,-0.008141310611789458,-0.007393204894801309,0.03909127543474959,-0.06383770382550674,-0.057966950197865394,0.306526514115689,-0.029014200443419926,-0.00303176082758385,-0.015661294197382842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06493067741394043,-0.009637365556657377,-0.0087512893548051,0.046273449846038,-0.08338399137995607,-0.07571856938675525,0.40037834880180423,-0.03435415972714665,-0.0035864463806008938,-0.018536878427183365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07087969779968262,-0.011089930804039428,-0.010069293392500865,0.05324507660557151,-0.10378823896025728,-0.09424663203150285,0.4983433452927886,-0.03953269885155458,-0.004129593899859448,-0.02132573124586107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07695579528808594,-0.012475371949516565,-0.01132583729902719,0.05989355780298677,-0.12424166594509632,-0.11281498251182995,0.5965338536408862,-0.044465772736878316,-0.00465238852318824,-0.023982339516748802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0825803279876709,-0.013776253032387126,-0.012505415825840761,0.06613570827302963,-0.14399023699246982,-0.1307379063274603,0.6913277053298262,-0.04909100952561416,-0.0051457530293957665,-0.026475876434815634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08824801445007324,-0.014980606221609575,-0.013597543680682743,0.07191348085685012,-0.16236762220893752,-0.1474108909404419,0.7795259688431655,-0.05336434443747397,-0.005596485146070799,-0.028788365003707787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.09393477439880371,-0.01608068538099094,-0.014595538036397798,0.07719066930492546,-0.17881617406389055,-0.16232971009881084,0.85845211511197,-0.05726849489399624,-0.005996184456328612,-0.030905759308113713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0996243953704834,-0.017072646390564404,-0.015495962175448838,0.08195013234578452,-0.1928973887588328,-0.1750992198966014,0.9260047214269768,-0.06079428949641255,-0.006348931173129938,-0.0328186605780844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10534429550170898,-0.017956361459324225,-0.016298276314277604,0.086190246565314,-0.2042953458747143,-0.185435014024918,0.9806731846697252,-0.06392937061927371,-0.006662651153204084,-0.034524812231169065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11100530624389648,-0.018734127786782996,-0.017004093003800624,0.08992111273723077,-0.21281454750338866,-0.19316007783478129,1.0215220585633236,-0.06668050507237275,-0.0069442929875790866,-0.036023441310191806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11666345596313477,-0.019409609301144992,-0.017616996933587183,0.09316118303656862,-0.2183712759655384,-0.19819749026233718,1.0481496772618044,-0.0690671635357316,-0.007190571088893331,-0.037323944318506615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
