T,Lx,Ly,Lz,VLx,VLy,VLz,qx,qy,qz,dqx,dqy,dqz
16.075533151626587,-0.004679041138504699,-0.03659001252283936,0.36240362014427213,0.21727472181995194,0.02547775350735227,-0.005351230454985099,-0.08857764663968687,-0.028097765734531908,-0.9956728961242755,0.09397857349753491,-0.007422475520670834,-0.008552674943578576
16.081252574920654,-0.0035508160648994877,-0.0364477904632244,0.3623986101911143,0.21800479066338588,0.025699027145954678,-0.004635959615865713,-0.08806329910371163,-0.02812916078726147,-0.9957176335007705,0.09534060352378074,-0.007843234758253716,-0.008620506761794756
16.08690333366394,-0.0024191454344168906,-0.036302942730574675,0.3623944453955577,0.21876025527909032,0.025937010733223267,-0.003984079534275913,-0.08755343443470356,-0.028160438270826135,-0.9957617113722956,0.09660688496759912,-0.00814970736309278,-0.008682738420028046
16.09263038635254,-0.001281467356973472,-0.03615573499388026,0.36238974444303235,0.21953599260577283,0.026194528067559373,-0.0033937204092381714,-0.087043338611782,-0.028192470216861425,-0.9958055240991516,0.09774512216105954,-0.008354101825247111,-0.00873595594915656
16.098387002944946,-0.00013514722935201398,-0.036006044076230766,0.36238395338314006,0.22033748427193187,0.026472874415803364,-0.002867176447802766,-0.08652940509877854,-0.028225032297338623,-0.9958493910251016,0.09875538275412134,-0.008474350293140937,-0.0087795162043547
16.104058980941772,0.0010168968766173204,-0.03585459972969216,0.36237797525744003,0.2211739952853927,0.026771794860162387,-0.0024066283619971164,-0.08600651849556519,-0.028258720815513165,-0.9958937310145811,0.09965945061770759,-0.008527808826778947,-0.008814727771514794
16.109813690185547,0.0021720311917268796,-0.035702240371255585,0.36237287649795474,0.22204569998534146,0.027088218317771636,-0.0020097890561412506,-0.0854716363916714,-0.028295772466387707,-0.9959387273487562,0.1004958366511092,-0.008533409848159432,-0.008844309507765524
16.115535259246826,0.0033313832207969955,-0.03554894020935667,0.3623690487467061,0.22294413349197043,0.027416658186221743,-0.0016696149535139774,-0.08492551654937577,-0.02833812302818174,-0.9959842405490467,0.10130845696859482,-0.008515141403021668,-0.008871279560961152
16.12124752998352,0.004490994959420727,-0.03539533931649223,0.3623668212265539,0.2238571170149955,0.027750872577826463,-0.0013767937739892037,-0.08437229293346966,-0.028383631678822106,-0.9960299622189434,0.10213011655707946,-0.008497140456501743,-0.008897664843250054
16.12689232826233,0.005649130178614567,-0.03524191435522696,0.362365064604246,0.22476512512358193,0.0280838160397828,-0.0011229062106392592,-0.08381470511024046,-0.028427998473024785,-0.9960757722734256,0.1029738430286519,-0.008491362853051403,-0.008924129996741205
16.132579803466797,0.006809204881127807,-0.035087577670773834,0.3623613465041511,0.22564818190741046,0.028409314094545945,-0.0009051821342492376,-0.08325132720296925,-0.02846758856684213,-0.9961218865782104,0.1038405037978247,-0.008491175933432276,-0.008950836684453536
16.138314247131348,0.00796833635640455,-0.034931895491662215,0.3623545405864232,0.22649329707693244,0.028724951153824303,-0.0007284947418157653,-0.08268819003226685,-0.028503944682357202,-0.9961677511176181,0.10472372395682282,-0.008480029029714056,-0.008977640334676197
16.14405608177185,0.00912307125075305,-0.03477463805896445,0.36234414948792765,0.22728447654754436,0.029031433554330376,-0.0006015816194493144,-0.08213174508309272,-0.028539317789862313,-0.9962127703406011,0.1055990893682338,-0.008446797580414951,-0.009002773825677001
16.14981985092163,0.01027557692612526,-0.03461497547175457,0.36232982186391083,0.22800165863509114,0.02933144013036508,-0.0005330770852741184,-0.08157340809232663,-0.02856949797052711,-0.9962577793311903,0.106435750372042,-0.008385096534069568,-0.00902385025863801
16.155508041381836,0.011429619158251737,-0.03445251286099707,0.36231294330499275,0.22863557003923848,0.029629792063871913,-0.0005283948780393664,-0.08100338508266632,-0.028590950872303716,-0.9963036731505945,0.10723259794434309,-0.008279687480016663,-0.009041231621047465
16.161410808563232,0.012588154477202221,-0.03428739623553981,0.36229567949180175,0.22919465996881452,0.029932020438011582,-0.0005853720926980517,-0.08041873641938616,-0.028604541753353228,-0.9963506446145303,0.10802411551423136,-0.008107792835953923,-0.009058413616359085
16.167042016983032,0.013746733974363975,-0.034120377839417945,0.36227950118745167,0.2296931510312738,0.030241748734747494,-0.0006929417318923042,-0.07982324558923506,-0.028609771940916934,-0.9963983793709669,0.10885121598925679,-0.007850093866304302,-0.00907927126383956
16.17281460762024,0.014901526639833589,-0.03395222038472952,0.3622646894394423,0.23013294324202438,0.030559037221196645,-0.0008351465228083039,-0.07921960729218075,-0.02860915616947456,-0.9964465715750861,0.10973775683211778,-0.007495663700779415,-0.009106003953337792
16.17842388153076,0.01605567311270008,-0.033783471904500345,0.36225081229851724,0.23050691558756542,0.030880634130853582,-0.0009966652707222652,-0.07860407310728829,-0.02860954847998361,-0.9964953052707852,0.11069551206155365,-0.007050517273959806,-0.009139309316173837
16.18413782119751,0.01720741627194359,-0.03361416200901973,0.36223770136053196,0.2308115932088808,0.03120174655838845,-0.0011656333141200827,-0.0779842847731517,-0.028613853375010483,-0.9965438769685223,0.11172918364181751,-0.006542686083706493,-0.009178667737113207
16.190107583999634,0.018354455459011407,-0.03344294980619933,0.3622248532641382,0.23104276521886397,0.03151936034404765,-0.0013337944423634914,-0.07736724797285595,-0.02862013990682238,-0.9965917903197982,0.11282030057186657,-0.006007904600618721,-0.009221512150344429
16.195794582366943,0.019498887257102648,-0.03326852090439364,0.3622113514727074,0.23119396475991358,0.03183553641886217,-0.0014968736499542618,-0.0767437495535243,-0.028622363225666542,-0.9966399335907848,0.11393900738477952,-0.005467624304565712,-0.009264813940467678
16.20150375366211,0.020642088039777465,-0.0330913317060128,0.3621968541291105,0.23126540991151168,0.032155851672864944,-0.0016545291745092877,-0.0761084150511594,-0.028615788970043844,-0.9966888410030597,0.11507940213513623,-0.004918354768921073,-0.009308148991044008
16.207144737243652,0.02178552287835151,-0.03291247581468988,0.36218182149650324,0.2312660433249158,0.03248391319446148,-0.0018078713054959599,-0.07546283423463031,-0.028601483610079952,-0.9967383386749901,0.11625664419499289,-0.004341484909184327,-0.009353153273042134
16.212818384170532,0.02292643563067823,-0.03273341107707667,0.36216752586103973,0.2312063149136613,0.032817891165595484,-0.0019558329329415767,-0.07481120880656174,-0.028582622271488285,-0.9967879998981661,0.1174798316939682,-0.0037233588191186414,-0.009400833540362488
16.218753576278687,0.024062908041013686,-0.032554994829954276,0.36215519537683694,0.2310893182890323,0.03315079421540516,-0.0020929863499538123,-0.07415543962545439,-0.028560736558469586,-0.9968376272498913,0.11874204673617639,-0.003063875107169587,-0.00945057901867547
16.224456548690796,0.025197832882142463,-0.032376287235597455,0.36214530250790933,0.23091469903052797,0.033474572442009146,-0.0022105676061620603,-0.07349037716887144,-0.028534643989466865,-0.9968876258415346,0.1200337205087271,-0.002369474145319461,-0.009501393166230068
16.23012924194336,0.02633194577662969,-0.032196113099953266,0.36213786183718205,0.23068855338947566,0.03378541782842197,-0.0022995673169564977,-0.07281629742461684,-0.02849962242857435,-0.9969380915336711,0.12135554096524435,-0.0016399290389160597,-0.009553239837508061
16.235814094543457,0.027465110230452783,-0.03201319790074061,0.36213301056272074,0.23042159203862952,0.034085627858451165,-0.0023526962524785602,-0.07213852980483881,-0.02844918748365417,-0.9969888044753141,0.12270657933813466,-0.0008568688182036164,-0.00960648509554054
16.241456985473633,0.028594846942777894,-0.03182723827939791,0.3621316582932853,0.23012106147060993,0.03438174292473946,-0.0023635837777556245,-0.07145807644795549,-0.028383831804548915,-0.9970396689211765,0.12407221145304381,1.2296591238658122e-05,-0.00966090377575074
16.24709177017212,0.029719525209408112,-0.0316399746801232,0.3621348784153888,0.22978605311323985,0.034679247457531884,-0.0023247061329598764,-0.07077639991813198,-0.028308131378497876,-0.9970904426943858,0.12543065164775985,0.0009927796826467415,-0.009715565096386748
16.252702951431274,0.030840717510406478,-0.031453360920645594,0.3621438645557864,0.22941198311895547,0.03497681427571397,-0.0022264302892698266,-0.07009554651362078,-0.028225522319624684,-0.9971408798403268,0.12675799140113592,0.0020878021107862492,-0.00976880258905578
16.258344650268555,0.031955785222787705,-0.03126798153940968,0.36216061623432166,0.2289948003511979,0.03526647006029289,-0.002056306176973739,-0.06941317363032551,-0.02814003413237436,-0.9971910297458532,0.12803221297144365,0.003280246623780178,-0.0098185542900987
